bill_id,short_title,sponsor,co_sponsors,floor_sponsor,last_action,last_action_owner,subjects,num_substitutes,substitute_sponsors,active_version,subjects_changed,committees,money_appropriated,originating_chamber,final_chamber,sponsor_id,session_year,session_id
SB0050,Animal Shelter Amendments,KNUDSPC,None,,Senate/ filed,Senate file for bills not passed,Animals; Political Subdivisions (Local Issues),0,None,SB0050,False,"Senate Natural Resources, Agriculture, and Environment Committee",None,Senate,,KNUDSPC,2018,2018GS
SB0051,Alimony Modifications,HILLYLW,None,SNOWVL,Governor Signed,Lieutenant Governor's office for filing,Marriage / Divorce; Courts,0,None,SB0051,False,"Senate Judiciary, Law Enforcement, and Criminal Justice Committee; House Judiciary Committee",None,Senate,,HILLYLW,2018,2018GS
SB0052,Sale of State Land Act,DAVISG,None,WILSOBR,Senate/ filed,Senate file for bills not passed,State Lands; Natural Resources; Public Lands,0,None,SB0052,False,Senate Government Operations and Political Subdivisions Committee; House Government Operations Committee,None,Senate,,DAVISG,2018,2018GS
SB0053,Workers' Compensation Coordination of Benefits Amendments,MAYNEK,None,DUNNIJA,Senate/ filed,Senate file for bills not passed,Workers' Compensation; Labor; Sunset Legislation,0,None,SB0053S01,False,Senate Economic Development and Workforce Services Committee,None,Senate,,MAYNEK,2018,2018GS
SB0054,Marriage and Premarital Counseling and Education Amendments,CHRISAM,None,EDWARRP,Governor Signed,Lieutenant Governor's office for filing,Marriage / Divorce; Judiciary,0,None,SB0054S01,False,House Economic Development and Workforce Services Committee; Senate Business and Labor Committee,"This bill appropriates in fiscal year 2019:<hr><ltbullet> to the Department of Human Services - Executive director operations, as an ongoing appropriation;<hr><ltbullet1>from Dedicated Credit Revenue, $300,000.",Senate,,CHRISAM,2018,2018GS
SB0055,Motor Vehicle Registration Amendments,HARPEWA,None,HUTCHEK,Governor Signed,Lieutenant Governor's office for filing,Motor Vehicles; Transportation,0,None,SB0055,False,"House Transportation Committee; Senate Transportation, Public Utilities, Energy, and Technology Committee",None,Senate,,HARPEWA,2018,2018GS
SB0056,Vehicle Platooning Amendments,HARPEWA,None,CHRISKJ,Governor Signed,Lieutenant Governor's office for filing,Motor Vehicles; Transportation,0,None,SB0056S01,False,"House Transportation Committee; Senate Transportation, Public Utilities, Energy, and Technology Committee",None,Senate,,HARPEWA,2018,2018GS
SB0057,Police Service Animal Amendments,IWAMOJ,None,SNOWVL,Governor Signed,Lieutenant Governor's office for filing,Animals; Criminal Code; Law Enforcement and Criminal Justice,0,None,SB0057S01,False,"House Law Enforcement and Criminal Justice Committee; Senate Judiciary, Law Enforcement, and Criminal Justice Committee",None,Senate,,IWAMOJ,2018,2018GS
SB0058,Failure to Appear Amendments,THATCDW,None,GREENBM,Governor Signed,Lieutenant Governor's office for filing,Law Enforcement and Criminal Justice; Punishments,0,None,SB0058,False,"House Law Enforcement and Criminal Justice Committee; Senate Judiciary, Law Enforcement, and Criminal Justice Committee",None,Senate,,THATCDW,2018,2018GS
SB0059,Theft Amendments,THATCDW,None,RAYP,Governor Signed,Lieutenant Governor's office for filing,Criminal Code; Law Enforcement and Criminal Justice; Sentencing Commission; Punishments,0,None,SB0059,False,"Senate Judiciary, Law Enforcement, and Criminal Justice Committee",None,Senate,,THATCDW,2018,2018GS
SB0060,License Hold for Military Service,FILLML,None,FAWSOJL,Governor Signed,Lieutenant Governor's office for filing,Military Services; Occupational and Professional Licensing,0,None,SB0060,False,Senate Business and Labor Committee; House Business and Labor Committee,None,Senate,,FILLML,2018,2018GS
SB0061,Water Rights Adjudication Amendments,DAYTOM,None,SANDASD,Governor Signed,Lieutenant Governor's office for filing,Natural Resources; Water and Irrigation,0,None,SB0061S01,False,"Senate Natural Resources, Agriculture, and Environment Committee; House Natural Resources, Agriculture, and Environment Committee",None,Senate,,DAYTOM,2018,2018GS
SB0062,Expungement Amendments,WEILET,None,MCKELMK,Governor Signed,Lieutenant Governor's office for filing,Judiciary; Court Procedure,0,None,SB0062S02,False,"Senate Judiciary, Law Enforcement, and Criminal Justice Committee; House Judiciary Committee",None,Senate,,WEILET,2018,2018GS
SB0063,Charity Registration Amendments,HEMMED,None,DUNNIJA,Governor Signed,Lieutenant Governor's office for filing,Business; Charities,0,None,SB0063,False,Senate Business and Labor Committee; House Business and Labor Committee,None,Senate,,HEMMED,2018,2018GS
SB0064,Workers' Compensation Health Care Amendments,MAYNEK,None,DUNNIJA,Governor Signed,Lieutenant Governor's office for filing,Workers' Compensation; Labor; Labor Commission,0,None,SB0064S02,False,Senate Business and Labor Committee; House Business and Labor Committee,None,Senate,,MAYNEK,2018,2018GS
SB0065,Child Neglect Amendments,FILLML,None,DAWBM,Governor Signed,Lieutenant Governor's office for filing,Child Welfare; Human Services,0,None,SB0065,False,House Health and Human Services Committee; Senate Health and Human Services Committee,None,Senate,,FILLML,2018,2018GS
SB0066,Emergency Vehicle Operator Duty of Care Amendments,ANDERJL,None,MALOYC,Governor Signed,Lieutenant Governor's office for filing,Emergency Management; Transportation,0,None,SB0066S01,False,"Senate Judiciary, Law Enforcement, and Criminal Justice Committee; House Judiciary Committee",None,Senate,,ANDERJL,2018,2018GS
SB0067,Fireworks Amendments,WEILET,None,DUNNIJA,Governor Signed,Lieutenant Governor's office for filing,Local Governments; Political Subdivisions (Local Issues),0,None,SB0067,False,Senate Business and Labor Committee; House Business and Labor Committee,None,Senate,,WEILET,2018,2018GS
SB0068,Physician Assistant Vital Statistics Act Amendments,BRAMBCS,None,HAWKETD,Governor Signed,Lieutenant Governor's office for filing,Health; Health Care Providers,0,None,SB0068S01,False,Senate Business and Labor Committee; House Business and Labor Committee,None,Senate,,BRAMBCS,2018,2018GS
SB0069,State Sovereign Lands Amendments,DAYTOM,None,GROVEK,Governor Signed,Lieutenant Governor's office for filing,Natural Resources; Public Lands,0,None,SB0069,False,"Senate Natural Resources, Agriculture, and Environment Committee; House Natural Resources, Agriculture, and Environment Committee",None,Senate,,DAYTOM,2018,2018GS
SB0070,Human Resource Requirements,MAYNEK,None,GIBSOFD,Governor Signed,Lieutenant Governor's office for filing,Charter Schools; Political Subdivisions (Local Issues); Special Service District,0,None,SB0070S01,False,Senate Government Operations and Political Subdivisions Committee; House Government Operations Committee,None,Senate,,MAYNEK,2018,2018GS
SB0071,Road Tolls Provisions,NIEDEWL,None,SCHULM,Governor Signed,Lieutenant Governor's office for filing,Highways; Transportation,0,None,SB0071S04,False,"House Transportation Committee; Senate Transportation, Public Utilities, Energy, and Technology Committee",None,Senate,,NIEDEWL,2018,2018GS
SB0072,Business Income Tax Modifications,HARPEWA,None,MCCAYD,Governor Signed,Lieutenant Governor's office for filing,Business; Income Tax; Revenue and Taxation,0,None,SB0072,False,Senate Revenue and Taxation Committee; House Revenue and Taxation Committee,None,Senate,,HARPEWA,2018,2018GS
SB0073,Public Employees' Benefit and Insurance Program Amendments,HEMMED,None,MCCAYD,Governor Signed,Lieutenant Governor's office for filing,Retirement; State Officers and Employees,0,None,SB0073S01,False,House Health and Human Services Committee; Senate Retirement and Independent Entities Committee,None,Senate,,HEMMED,2018,2018GS
SB0074,Voter Privacy Amendments,MAYNEK,None,EDWARRP,Governor Signed,Lieutenant Governor's office for filing,Elections; Voter Registration; Government Operations (State Issues),0,None,SB0074S04,False,Senate Government Operations and Political Subdivisions Committee; House Government Operations Committee,None,Senate,,MAYNEK,2018,2018GS
SB0075,Labor Code Amendments,HEMMED,None,MOSSJ,Governor Signed,Lieutenant Governor's office for filing,Workers' Compensation; Labor,0,None,SB0075S01,False,House Economic Development and Workforce Services Committee; Senate Economic Development and Workforce Services Committee,None,Senate,,HEMMED,2018,2018GS
SB0076,Commercial Property Tax Amendments,HEMMED,None,ROBERA,Governor Signed,Lieutenant Governor's office for filing,Property Tax; Revenue and Taxation,0,None,SB0076S01,False,Senate Revenue and Taxation Committee; House Revenue and Taxation Committee,None,Senate,,HEMMED,2018,2018GS
SB0077,Tax Administration Amendments,BRAMBCS,None,MCCAYD,Governor Signed,Lieutenant Governor's office for filing,Property Tax; Revenue and Taxation,0,None,SB0077,False,Senate Revenue and Taxation Committee; House Revenue and Taxation Committee,None,Senate,,BRAMBCS,2018,2018GS
SB0078,Office of Licensing Amendments,CHRISAM,None,WATKICF,Governor Signed,Lieutenant Governor's office for filing,Foster Care; Human Services,0,None,SB0078,False,Senate Business and Labor Committee; House Business and Labor Committee,None,Senate,,CHRISAM,2018,2018GS
SB0079,Judiciary Amendments,HILLYLW,None,SNOWVL,Governor Signed,Lieutenant Governor's office for filing,Courts; Judiciary,0,None,SB0079,False,"Senate Judiciary, Law Enforcement, and Criminal Justice Committee; House Judiciary Committee",None,Senate,,HILLYLW,2018,2018GS
SB0080,Exempt and Apportioned License Plate Amendments,IPSONDL,None,CHRISKJ,Governor Signed,Lieutenant Governor's office for filing,License Plates; Transportation,0,None,SB0080,False,"House Transportation Committee; Senate Transportation, Public Utilities, Energy, and Technology Committee",None,Senate,,IPSONDL,2018,2018GS
SB0081,Children's Justice Center Program,OKERLR,None,OWENSD,Governor Signed,Lieutenant Governor's office for filing,Children; Human Services,0,None,SB0081,False,"House Law Enforcement and Criminal Justice Committee; Senate Judiciary, Law Enforcement, and Criminal Justice Committee",None,Senate,,OKERLR,2018,2018GS
SB0082,Utah Transparency Advisory Board Amendments,HENDEDM,None,ELIASS,Governor Signed,Lieutenant Governor's office for filing,Government Operations (State Issues),0,None,SB0082,False,Senate Government Operations and Political Subdivisions Committee; House Political Subdivisions Committee,None,Senate,,HENDEDM,2018,2018GS
